datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,hour,month,weekday,day,year,part_of_day
2011-01-01 00:00:00,1,0,0,1,9.84,14.395,81,0.0,3.0,13.0,16,0,1,5,1,2011,morning
2011-01-01 01:00:00,1,0,0,1,9.02,13.635,80,0.0,8.0,32.0,40,1,1,5,1,2011,morning
2011-01-01 02:00:00,1,0,0,1,9.02,13.635,80,0.0,5.0,27.0,32,2,1,5,1,2011,morning
2011-01-01 03:00:00,1,0,0,1,9.84,14.395,75,0.0,3.0,10.0,13,3,1,5,1,2011,morning
2011-01-01 04:00:00,1,0,0,1,9.84,14.395,75,0.0,0.0,1.0,1,4,1,5,1,2011,morning
2011-01-01 05:00:00,1,0,0,2,9.84,12.88,75,6.0032,0.0,1.0,1,5,1,5,1,2011,morning
2011-01-01 06:00:00,1,0,0,1,9.02,13.635,80,0.0,2.0,0.0,2,6,1,5,1,2011,morning
2011-01-01 07:00:00,1,0,0,1,8.2,12.88,86,0.0,1.0,2.0,3,7,1,5,1,2011,morning
2011-01-01 08:00:00,1,0,0,1,9.84,14.395,75,0.0,1.0,7.0,8,8,1,5,1,2011,morning
2011-01-01 09:00:00,1,0,0,1,13.12,17.425,76,0.0,8.0,6.0,14,9,1,5,1,2011,morning
2011-01-01 10:00:00,1,0,0,1,15.58,19.695,76,16.9979,12.0,24.0,36,10,1,5,1,2011,morning
2011-01-01 11:00:00,1,0,0,1,14.76,16.665,81,19.0012,26.0,30.0,56,11,1,5,1,2011,morning
2011-01-01 12:00:00,1,0,0,1,17.22,21.21,77,19.0012,29.0,55.0,84,12,1,5,1,2011,morning
2011-01-01 13:00:00,1,0,0,2,18.86,22.725,72,19.9995,47.0,47.0,94,13,1,5,1,2011,afternoon
2011-01-01 14:00:00,1,0,0,2,18.86,22.725,72,19.0012,35.0,71.0,106,14,1,5,1,2011,afternoon
2011-01-01 15:00:00,1,0,0,2,18.04,21.97,77,19.9995,40.0,70.0,110,15,1,5,1,2011,afternoon
2011-01-01 16:00:00,1,0,0,2,17.22,21.21,82,19.9995,41.0,52.0,93,16,1,5,1,2011,afternoon
2011-01-01 17:00:00,1,0,0,2,18.04,21.97,82,19.0012,15.0,52.0,67,17,1,5,1,2011,afternoon
2011-01-01 18:00:00,1,0,0,3,17.22,21.21,88,16.9979,9.0,26.0,35,18,1,5,1,2011,evening
2011-01-01 19:00:00,1,0,0,3,17.22,21.21,88,16.9979,6.0,31.0,37,19,1,5,1,2011,evening
2011-01-01 20:00:00,1,0,0,2,16.4,20.455,87,16.9979,11.0,25.0,36,20,1,5,1,2011,evening
2011-01-01 21:00:00,1,0,0,2,16.4,20.455,87,12.998,3.0,31.0,34,21,1,5,1,2011,night
2011-01-01 22:00:00,1,0,0,2,16.4,20.455,94,15.0013,11.0,17.0,28,22,1,5,1,2011,night
2011-01-01 23:00:00,1,0,0,2,18.86,22.725,88,19.9995,15.0,24.0,39,23,1,5,1,2011,night
2011-01-02 00:00:00,1,0,0,2,18.86,22.725,88,19.9995,4.0,13.0,17,0,1,6,2,2011,morning
2011-01-02 01:00:00,1,0,0,2,18.04,21.97,94,16.9979,1.0,16.0,17,1,1,6,2,2011,morning
2011-01-02 02:00:00,1,0,0,2,17.22,21.21,100,19.0012,1.0,8.0,9,2,1,6,2,2011,morning
