,name,gender,frequency,year
1197,Luke,M,43,1880.0
3178,Luke,M,42,1881.0
5220,Luke,M,44,1882.0
7384,Luke,M,38,1883.0
9591,Luke,M,39,1884.0
11872,Luke,M,50,1885.0
14258,Luke,M,50,1886.0
16669,Luke,M,47,1887.0
19242,Luke,M,45,1888.0
21875,Luke,M,44,1889.0
24544,Luke,M,42,1890.0
27331,Luke,M,23,1891.0
30039,Luke,M,42,1892.0
32924,Luke,M,48,1893.0
35863,Luke,M,32,1894.0
38845,Luke,M,53,1895.0
41937,Luke,M,45,1896.0
44992,Luke,M,44,1897.0
48246,Luke,M,38,1898.0
51359,Luke,M,35,1899.0
54729,Luke,M,70,1900.0
58222,Luke,M,37,1901.0
61488,Luke,M,41,1902.0
64864,Luke,M,46,1903.0
68378,Luke,M,40,1904.0
71961,Luke,M,53,1905.0
75592,Luke,M,57,1906.0
79463,Luke,M,45,1907.0
83430,Luke,M,52,1908.0
87564,Luke,M,57,1909.0
92021,Luke,M,71,1910.0
96785,Luke,M,62,1911.0
102307,Luke,M,83,1912.0
108893,Luke,M,115,1913.0
116323,Luke,M,168,1914.0
125115,Luke,M,157,1915.0
134646,Luke,M,183,1916.0
144523,Luke,M,163,1917.0
154713,Luke,M,176,1918.0
165098,Luke,M,165,1919.0
175687,Luke,M,166,1920.0
186553,Luke,M,165,1921.0
197289,Luke,M,190,1922.0
208005,Luke,M,185,1923.0
218783,Luke,M,206,1924.0
229569,Luke,M,165,1925.0
240060,Luke,M,162,1926.0
250508,Luke,M,158,1927.0
260763,Luke,M,149,1928.0
270742,Luke,M,153,1929.0
280562,Luke,M,141,1930.0
290055,Luke,M,142,1931.0
299436,Luke,M,165,1932.0
308687,Luke,M,110,1933.0
317802,Luke,M,122,1934.0
326893,Luke,M,121,1935.0
335900,Luke,M,116,1936.0
344881,Luke,M,113,1937.0
353872,Luke,M,123,1938.0
362867,Luke,M,116,1939.0
371875,Luke,M,116,1940.0
380888,Luke,M,121,1941.0
390329,Luke,M,110,1942.0
399706,Luke,M,126,1943.0
408992,Luke,M,117,1944.0
418127,Luke,M,117,1945.0
427607,Luke,M,130,1946.0
437716,Luke,M,151,1947.0
448007,Luke,M,155,1948.0
458274,Luke,M,155,1949.0
468568,Luke,M,171,1950.0
478990,Luke,M,169,1951.0
489661,Luke,M,158,1952.0
500403,Luke,M,169,1953.0
511341,Luke,M,197,1954.0
522410,Luke,M,220,1955.0
533689,Luke,M,245,1956.0
545122,Luke,M,293,1957.0
556682,Luke,M,337,1958.0
568377,Luke,M,352,1959.0
580240,Luke,M,423,1960.0
592373,Luke,M,415,1961.0
604613,Luke,M,427,1962.0
616897,Luke,M,423,1963.0
629310,Luke,M,445,1964.0
641456,Luke,M,400,1965.0
653503,Luke,M,355,1966.0
665907,Luke,M,345,1967.0
678640,Luke,M,387,1968.0
692066,Luke,M,452,1969.0
704337,Luke,F,6,1970.0
706445,Luke,M,535,1970.0
717330,Luke,F,9,1971.0
721518,Luke,M,532,1971.0
735868,Luke,F,5,1972.0
736807,Luke,M,576,1972.0
752333,Luke,M,634,1973.0
768436,Luke,M,725,1974.0
785048,Luke,M,776,1975.0
802258,Luke,M,916,1976.0
819086,Luke,F,5,1977.0
820048,Luke,M,1242,1977.0
832913,Luke,F,10,1978.0
838331,Luke,M,1883,1978.0
850933,Luke,F,11,1979.0
857036,Luke,M,2470,1979.0
867786,Luke,F,21,1980.0
876258,Luke,M,3113,1980.0
889595,Luke,F,11,1981.0
895748,Luke,M,3018,1981.0
907048,Luke,F,19,1982.0
915387,Luke,M,2478,1982.0
926133,Luke,F,23,1983.0
934813,Luke,M,2654,1983.0
945527,Luke,F,24,1984.0
954338,Luke,M,2474,1984.0
965780,Luke,F,19,1985.0
974175,Luke,M,2743,1985.0
986763,Luke,F,15,1986.0
994598,Luke,M,2654,1986.0
1007307,Luke,F,16,1987.0
1015693,Luke,M,2592,1987.0
1027704,Luke,F,23,1988.0
1037733,Luke,M,2623,1988.0
1056478,Luke,F,7,1989.0
1060775,Luke,M,2712,1989.0
1080776,Luke,F,7,1990.0
1085235,Luke,M,2883,1990.0
1102947,Luke,F,10,1991.0
1110181,Luke,M,3013,1991.0
1126602,Luke,F,13,1992.0
1135421,Luke,M,4066,1992.0
1152972,Luke,F,11,1993.0
1161033,Luke,M,4355,1993.0
1179049,Luke,F,11,1994.0
1186960,Luke,M,4095,1994.0
1209807,Luke,F,6,1995.0
1212947,Luke,M,4629,1995.0
1235988,Luke,F,6,1996.0
1239161,Luke,M,5017,1996.0
1260011,Luke,F,8,1997.0
1265860,Luke,M,4953,1997.0
1286379,Luke,F,9,1998.0
1293268,Luke,M,5283,1998.0
1312524,Luke,F,12,1999.0
1321515,Luke,M,6138,1999.0
1349585,Luke,F,5,2000.0
1350776,Luke,M,7147,2000.0
1369672,Luke,F,16,2001.0
1380861,Luke,M,8008,2001.0
1403845,Luke,F,9,2002.0
1411247,Luke,M,8692,2002.0
1431121,Luke,F,15,2003.0
1442169,Luke,M,9303,2003.0
1458840,Luke,F,36,2004.0
1473754,Luke,M,9596,2004.0
1494294,Luke,F,16,2005.0
1506172,Luke,M,10011,2005.0
1528560,Luke,F,13,2006.0
1539603,Luke,M,10086,2006.0
1568448,Luke,F,7,2007.0
1574220,Luke,M,9605,2007.0
1599065,Luke,F,11,2008.0
1609084,Luke,M,9421,2008.0
1643900,Luke,M,8621,2009.0
1674542,Luke,F,6,2010.0
1678258,Luke,M,8848,2010.0
1705382,Luke,F,8,2011.0
1712103,Luke,M,8704,2011.0
1739352,Luke,F,8,2012.0
1745977,Luke,M,9018,2012.0
1778382,Luke,F,5,2013.0
1779489,Luke,M,9582,2013.0
1802282,Luke,F,13,2014.0
1812769,Luke,M,10516,2014.0
1839323,Luke,F,8,2015.0
1845955,Luke,M,10289,2015.0
1869787,Luke,F,11,2016.0
1878870,Luke,M,9993,2016.0
1908237,Luke,F,6,2017.0
1911495,Luke,M,9220,2017.0
1936777,Luke,F,9,2018.0
1943865,Luke,M,8617,2018.0
1968096,Luke,F,10,2019.0
1975960,Luke,M,8433,2019.0
2004450,Luke,F,6,2020.0
2007556,Luke,M,7769,2020.0
2034508,Luke,F,7,2021.0
2039217,Luke,M,7690,2021.0
2066228,Luke,F,7,2022.0
2070936,Luke,M,7344,2022.0
