,name,gender,frequency,year
9,Sarah,F,1288,1880.0
2011,Sarah,F,1226,1881.0
3945,Sarah,F,1410,1882.0
6072,Sarah,F,1359,1883.0
7904,Sarah,M,7,1883.0
8158,Sarah,F,1518,1884.0
10270,Sarah,M,6,1884.0
10459,Sarah,F,1424,1885.0
12462,Sarah,M,7,1885.0
12751,Sarah,F,1569,1886.0
14968,Sarah,M,6,1886.0
15147,Sarah,F,1436,1887.0
17520,Sarah,F,1755,1888.0
20171,Sarah,F,1730,1889.0
22723,Sarah,M,5,1889.0
22762,Sarah,F,1786,1890.0
25411,Sarah,M,5,1890.0
25460,Sarah,F,1669,1891.0
28124,Sarah,F,1798,1892.0
30809,Sarah,M,6,1892.0
31050,Sarah,F,1632,1893.0
33684,Sarah,M,6,1893.0
33882,Sarah,F,1701,1894.0
36271,Sarah,M,10,1894.0
36822,Sarah,F,1777,1895.0
39457,Sarah,M,8,1895.0
39873,Sarah,F,1691,1896.0
42907,Sarah,M,5,1896.0
42963,Sarah,F,1713,1897.0
45507,Sarah,M,9,1897.0
45994,Sarah,F,1800,1898.0
49203,Sarah,M,5,1898.0
49259,Sarah,F,1587,1899.0
51716,Sarah,M,11,1899.0
52300,Sarah,F,2054,1900.0
55962,Sarah,M,5,1900.0
56032,Sarah,F,1514,1901.0
59127,Sarah,M,5,1901.0
59184,Sarah,F,1710,1902.0
62477,Sarah,M,5,1902.0
62548,Sarah,F,1553,1903.0
65872,Sarah,M,5,1903.0
65939,Sarah,F,1594,1904.0
69107,Sarah,M,7,1904.0
69497,Sarah,F,1762,1905.0
73087,Sarah,M,5,1905.0
73155,Sarah,F,1697,1906.0
76792,Sarah,F,1799,1907.0
80740,Sarah,F,1814,1908.0
84759,Sarah,F,1845,1909.0
88206,Sarah,M,11,1909.0
88977,Sarah,F,2173,1910.0
93285,Sarah,M,6,1910.0
93608,Sarah,F,2201,1911.0
97709,Sarah,M,9,1911.0
98474,Sarah,F,2919,1912.0
103094,Sarah,M,16,1912.0
104826,Sarah,F,3178,1913.0
110413,Sarah,M,10,1913.0
111798,Sarah,F,3679,1914.0
117807,Sarah,M,13,1914.0
119767,Sarah,F,4415,1915.0
126634,Sarah,M,15,1915.0
129125,Sarah,F,4798,1916.0
135921,Sarah,M,19,1916.0
138821,Sarah,F,4766,1917.0
146617,Sarah,M,11,1917.0
148733,Sarah,F,4969,1918.0
156510,Sarah,M,14,1918.0
159125,Sarah,F,5022,1919.0
167275,Sarah,M,11,1919.0
169498,Sarah,F,5031,1920.0
