,name,gender,frequency,year
1276508,Tyrion,M,5,1997.0
1288963,Tyrion,F,7,1998.0
1304414,Tyrion,M,5,1998.0
1329287,Tyrion,M,8,1999.0
1357006,Tyrion,M,11,2000.0
1387717,Tyrion,M,10,2001.0
1416580,Tyrion,M,14,2002.0
1447658,Tyrion,M,14,2003.0
1479183,Tyrion,M,15,2004.0
1511986,Tyrion,M,14,2005.0
1546440,Tyrion,M,12,2006.0
1580416,Tyrion,M,14,2007.0
1614787,Tyrion,M,16,2008.0
1649388,Tyrion,M,17,2009.0
1685767,Tyrion,M,11,2010.0
1717242,Tyrion,M,18,2011.0
1750786,Tyrion,M,20,2012.0
1782166,Tyrion,M,44,2013.0
1814993,Tyrion,M,60,2014.0
1848137,Tyrion,M,62,2015.0
1881143,Tyrion,M,58,2016.0
1913845,Tyrion,M,55,2017.0
1946157,Tyrion,M,58,2018.0
1978318,Tyrion,M,57,2019.0
2011011,Tyrion,M,32,2020.0
2042532,Tyrion,M,35,2021.0
2074858,Tyrion,M,28,2022.0
