country,year,life expectancy,continent,population,fertility
Afghanistan,1951,27.13,Asia,7839426.0,7.67
Afghanistan,1952,27.67,Asia,7934798.0,7.67
Afghanistan,1953,28.19,Asia,8038312.0,7.67
Afghanistan,1954,28.73,Asia,8150037.0,7.67
Afghanistan,1955,29.27,Asia,8270024.0,7.67
Afghanistan,1956,29.8,Asia,8398309.0,7.67
Afghanistan,1957,30.34,Asia,8534913.0,7.67
Afghanistan,1958,30.86,Asia,8679848.0,7.67
Afghanistan,1959,31.4,Asia,8833127.0,7.67
Afghanistan,1960,31.94,Asia,8994793.0,7.67
Afghanistan,1961,32.47,Asia,9164945.0,7.67
Afghanistan,1962,33.01,Asia,9343772.0,7.67
Afghanistan,1963,33.53,Asia,9531555.0,7.67
Afghanistan,1964,34.07,Asia,9728645.0,7.67
Afghanistan,1965,34.6,Asia,9935358.0,7.67
Afghanistan,1966,35.13,Asia,10148841.0,7.67
Afghanistan,1967,35.66,Asia,10368600.0,7.67
Afghanistan,1968,36.17,Asia,10599790.0,7.67
Afghanistan,1969,36.69,Asia,10849510.0,7.67
Afghanistan,1970,37.2,Asia,11121097.0,7.67
Afghanistan,1971,37.7,Asia,11412821.0,7.67
Afghanistan,1972,38.19,Asia,11716896.0,7.67
Afghanistan,1973,38.67,Asia,12022514.0,7.67
Afghanistan,1974,39.14,Asia,12315553.0,7.67
Afghanistan,1975,39.61,Asia,12582954.0,7.67
Afghanistan,1976,40.07,Asia,12831361.0,7.67
Afghanistan,1977,40.53,Asia,13056499.0,7.67
Afghanistan,1978,40.98,Asia,13222547.0,7.67
Afghanistan,1979,41.46,Asia,13283279.0,7.67
Afghanistan,1980,41.96,Asia,13211412.0,7.67
Afghanistan,1981,42.51,Asia,12996923.0,7.67
Afghanistan,1982,43.11,Asia,12667001.0,7.67
Afghanistan,1983,43.75,Asia,12279095.0,7.67
Afghanistan,1984,44.45,Asia,11912510.0,7.68
Afghanistan,1985,45.21,Asia,11630498.0,7.68
Afghanistan,1986,46.02,Asia,11438949.0,7.68
Afghanistan,1987,46.87,Asia,11337932.0,7.68
Afghanistan,1988,47.74,Asia,11375768.0,7.68
Afghanistan,1989,48.62,Asia,11608351.0,7.68
Afghanistan,1990,49.5,Asia,12067570.0,7.69
Afghanistan,1991,49.3,Asia,12789374.0,7.7
Afghanistan,1992,49.4,Asia,13745630.0,7.73
Afghanistan,1993,49.5,Asia,14824371.0,7.76
Afghanistan,1994,48.9,Asia,15869967.0,7.8
Afghanistan,1995,49.4,Asia,16772522.0,7.83
Afghanistan,1996,49.7,Asia,17481800.0,7.86
Afghanistan,1997,49.5,Asia,18034130.0,7.87
Afghanistan,1998,48.6,Asia,18511480.0,7.85
Afghanistan,1999,50.0,Asia,19038420.0,7.81
Afghanistan,2000,50.1,Asia,19701940.0,7.73
Afghanistan,2001,50.4,Asia,20531160.0,7.62
Afghanistan,2002,51.0,Asia,21487079.0,7.48
Afghanistan,2003,51.4,Asia,22507368.0,7.32
Afghanistan,2004,51.8,Asia,23499850.0,7.14
Afghanistan,2005,52.0,Asia,24399948.0,6.93
Afghanistan,2006,52.1,Asia,25183615.0,6.7
Afghanistan,2007,52.4,Asia,25877544.0,6.46
Afghanistan,2008,52.8,Asia,26528741.0,6.2
Afghanistan,2009,53.3,Asia,27207291.0,5.93
Afghanistan,2010,53.6,Asia,27962207.0,5.66
Afghanistan,2011,54.0,Asia,28809167.0,5.4
Afghanistan,2012,54.4,Asia,29726803.0,5.14
Afghanistan,2013,54.8,Asia,30682500.0,4.9
Afghanistan,2014,54.9,Asia,31627506.0,4.68
Afghanistan,2015,53.8,Asia,32526562.0,4.47
Albania,1951,54.72,Europe,1287499.0,5.9
Albania,1952,55.23,Europe,1316086.0,6.07
Albania,1953,55.85,Europe,1348097.0,6.21
Albania,1954,56.59,Europe,1382881.0,6.31
Albania,1955,57.45,Europe,1419969.0,6.37
Albania,1956,58.42,Europe,1459089.0,6.4
Albania,1957,59.48,Europe,1500152.0,6.39
Albania,1958,60.6,Europe,1543224.0,6.35
