name,zip,orders,month,delivery_service
Chen's Cooking,1120,575,1,competition
Al Capone,4614,283,1,competition
Schesch Besch,1010,43,1,competition
Gasthaus Bergwirt,4053,1054,1,competition
Kebap & Pizza Antalya,9020,168,1,competition
Ristorante Pizzeria Al Pacino,4072,7,1,competition
Sila,4020,167,1,competition
Wiener Schnitzelland,1220,610,1,competition
Lanue Pizza & Kebap,2822,527,1,competition
Restaurant Asia Haus,9020,8,1,competition
Centimeter II am Spittelberg,1070,6,1,competition
McDonald's®,4020,131,1,competition
Bistro SchreyerS,5020,373,1,competition
Heinz,8041,569,1,competition
Oslo Kebap & Pizza,2511,168,1,competition
Zottis Hallenbad Restaurant,4240,492,1,competition
Doña Irma mexikanisches restaurant,1030,7,1,competition
Asia Restaurant Wok & Sushi,1220,710,1,competition
Die Herzl,8010,127,1,competition
La Kuilla di Mare,1170,7,1,competition
Josh,1030,48,1,competition
Ötzi's,9560,652,1,competition
Pizza Castello,5020,293,1,competition
Robin's Grillstation,6840,0,1,competition
Ristorante Pizzeria il Teatro Milano,1060,8,1,competition
Flying-BBQ- Catering & Streetfood,7041,3,1,competition
Pizzeria Ristorante Napolitana,1140,1945,1,competition
Pizza Bella Italia,1020,833,1,competition
Restaurant Casa Romaneasca,1100,8,1,competition
Eissalon De Rocco,1180,1,1,competition
Toscanini Pizzeria,1210,9,1,competition
Lupetto,1070,40,1,competition
Sorrento,4840,248,1,competition
Pizzeria la Sera,5020,1,1,competition
Pizzeria Madona,1210,289,1,competition
Marco Polo Sushi,1030,9,1,competition
Schnitzel World,1220,4,1,competition
Moc Vietnamese Eatery,1090,446,1,competition
Kemo Speisen & Getränke Lieferung,1160,43,1,competition
Burger & Pizza Haus Ulis,1090,41,1,competition
Gelato Italiano Eissalon Italia,1030,3,1,competition
Da Angelo's Margareten,1050,43,1,competition
Pizzeria Volta,8010,574,1,competition
Oishi Sushi,1060,8,1,competition
China-Restaurant Canton,6020,49,1,competition
Star Kebap,1100,486,1,competition
Afghan Restaurant,8010,40,1,competition
Lezz-Et,2230,290,1,competition
Le's Cooking,1090,5,1,competition
Kolala Asia Buffet Restaurant,5020,690,1,competition
Eat - Asiafood,8010,9,1,competition
Yazu Japanese Cuisine,2500,854,1,competition
Bambus To Go,1090,168,1,competition
Gasthaus ''Zur Gruabn'',1030,374,1,competition
Neustadt Pizza & Kebap,4600,251,1,competition
China-Restaurant Hainburg,2410,775,1,competition
Ferdls Restaurant,8054,432,1,competition
Genusseck Trumau,2521,248,1,competition
Wen's Nudeln,1180,259,1,competition
Tasties,6020,1,1,competition
Bella Venezia,2253,486,1,competition
Schnitzl Max,5020,728,1,competition
Eiskaffee ROMA-Konditorei,8010,49,1,competition
Meet Me There,8020,5,1,competition
C & C Restaurant,8700,6,1,competition
Nguyen's Pho House,1080,1171,1,competition
Sentepe Bistro & Café,1090,7,1,competition
Quick Burger & Toast,1100,284,1,competition
bin Ramen,1010,324,1,competition
La Amalia,7202,3,1,competition
MyFelix,2603,614,1,competition
Pizzeria al taglio JOLLY,5020,44,1,competition
Burger & Co,2640,126,1,competition
Casa Adriana,4400,4,1,competition
Hanfmezze,1070,5,1,competition
La Deliziosa Eis,1050,6,1,competition
Yak Kitchen,4020,210,1,competition
B.Pasco Pizza,1120,1,1,competition
Burger Boutique,9020,8,1,competition
Draxler Geflügel,8020,122,1,competition
Wilding im Hof - FETT ESSEN,8010,325,1,competition
Ünlü Kebap,1110,49,1,competition
McDonald's®,9020,9,1,competition
Wok & Roll,4600,526,1,competition
Yummy Noodles,6020,209,1,competition
Vegan Restaurant Tau,1220,1418,1,competition
Pan Asia,5020,5,1,competition
Subway,8055,43,1,competition
Edo Nudeln,1180,84,1,competition
Ganesha,1180,435,1,competition
Damas Pizzeria,8940,7,1,competition
Pizzeria al Capone,1170,5,1,competition
Dim-Sum Restaurant,1040,44,1,competition
KFC,4053,8,1,competition
Johanneskeller,5020,8,1,competition
Gasthof zur Post,6414,5,1,competition
Pizzeria Davit 2,8741,211,1,competition
Witwe Bolte,1070,1,1,competition
Sushi Plus,1170,693,1,competition
China Restaurant Lotos,6020,43,1,competition
Caprese,1150,854,1,competition
Pizzeria Bella Italia 1210 Wien,1210,580,1,competition
La Vostra,1160,1181,1,competition
Pizzeria Royal,2225,6,1,competition
Asia Restaurant Neuwelt,3100,527,1,competition
Mexitalia,4701,85,1,competition
Susie's Diner,5020,246,1,competition
Yong Ramen,8010,7,1,competition
Wölfnitz Pizza & Kebap Haus,9061,42,1,competition
Pizzeria Ciao,1030,411,1,competition
2016 Sushi Wok,1090,48,1,competition
Griechische Taverna Gyros,1090,3,1,competition
Adriano's Italian Pizza & Pasta Lieferservice,6300,91,1,competition
ignacio vinos e ibéricos,1010,6,1,competition
Quicky's -Burgers & More,1090,567,1,competition
Wiener Würstelstand,1080,2,1,competition
Westpol,1070,4,1,competition
Today Imbiss,6800,5,1,competition
Mr. Wen,5020,165,1,competition
Pizza La Lorenzo,1050,89,1,competition
Baschly,1090,6,1,competition
Pizzeria Ristorante Fabio,4030,1141,1,competition
Pizzeria Cipriano,3382,168,1,competition
Rosamunde Kebap,8010,233,1,competition
Originale Pizza Italiana Napoletana,6850,8,1,competition
PHO YOU,8010,90,1,competition
Sweet Hell / Cafe Schmidt Bistro u. Eissalon,1050,3,1,competition
Fuxi Ding Asia Restaurant,2700,3,1,competition
Bella Italiamo,1100,1372,1,competition
DAO,4020,166,1,competition
Pizza King,3124,6,1,competition
Lucky Sushi,1170,41,1,competition
Wok House,1220,1435,1,competition
Niagara Restaurant & Pizzeria,9500,253,1,competition
Memo Cafe - Grill - Pizza,1100,493,1,competition
Restaurant Tseng,1080,1,1,competition
Kingswok,8074,493,1,competition
Chili's Kebap & Pizzeria Hall i.T.,6060,406,1,competition
Casa Italia,2560,379,1,competition
Pronto Pizzeria,6112,451,1,competition
Fresh & Co,1160,48,1,competition
Demi Tass,1040,123,1,competition
Restaurant Samrat,1080,46,1,competition
Evershine Pizza,1220,411,1,competition
Pizzeria Adamo,1050,5,1,competition
L'Osteria,1010,1869,1,competition
Ristorante Pizzeria da Giacomo,5020,1385,1,competition
fast & fresh,3430,1147,1,competition
Hirschenwirt,5600,410,1,competition
BioBurgerMeister,5020,130,1,competition
Choice Of Pizza,1120,204,1,competition
Ali Baba Kebabhouse,6020,45,1,competition
L'Osteria,4020,814,1,competition
Wiener Schnitzelland,1220,87,1,competition
Schutzhaus Gross-Jedlersdorf,1210,492,1,competition
Pizzeria Siciliana Wels,4600,609,1,competition
Pizzeria Florenza,3100,251,1,competition
Antiochia,2630,124,1,competition
The Underdog,1080,42,1,competition
Schnitzel Stubn,8010,209,1,competition
Mini Pizzeria Pinocchio,1070,379,1,competition
Carbone,5020,1261,1,competition
my Indigo Promenaden Galerien,4020,1262,1,competition
Huy cook & eat,5020,608,1,competition
Pizza La Gona Blu,1160,6,1,competition
Tasties,6020,1,1,competition
eat and drink,5730,9,1,competition
Santa Maria Pizza & Pasta,2491,332,1,competition
Mr. Ji,4020,46,1,competition
Baco's Kebab & More,1220,526,1,competition
Gasthaus Möslinger,1020,454,1,competition
Original Berliner Gemüse Döner,4400,491,1,competition
Wood & Stone,2380,407,1,competition
Pizza Brothers Burger,1210,204,1,competition
Venuss Bistro,1190,5,1,competition
NAZAR - Unterwaltersdorf,2442,815,1,competition
Zushi Buffet,1200,4,1,competition
Waldviertlerstuben,2103,212,1,competition
Spice of India,1040,2,1,competition
Bedo Pizzeria & Kebaphaus,4810,490,1,competition
Pyramiden Pizzaria,2490,81,1,competition
Marmota,6710,494,1,competition
Dai Golosi - Gastronomia Italiana,1050,7,1,competition
American Crazy Burger,1210,1419,1,competition
El Monte,8940,4,1,competition
Akakiko,4040,9,1,competition
yaoyao,5071,9,1,competition
Pizzeria La Bella,8076,8,1,competition
Grillalm,6410,85,1,competition
"Trattoria & Pizzeria ""Da Rocco""",6020,370,1,competition
Pizza del Popolo,1010,5,1,competition
Amica Pasta,1160,7,1,competition
Fuzo Pizza Schnitzel Pasta & Getränke,4040,1528,1,competition
Saray Kebap & Pizza,1170,171,1,competition
Pizzeria Da Raffaello,1210,127,1,competition
Brucks Noodle und Pizza,2460,204,1,competition
Istanbul Kebap Haus,2700,654,1,competition
Shin Ju,1040,895,1,competition
Nice wok,1160,85,1,competition
Ristorante Leonardo da Vinci,6020,2,1,competition
Wiener Schnitzelland,1140,531,1,competition
HENDLEREI,5020,4,1,competition
Noodlelicious,6020,47,1,competition
Wanderl,8642,696,1,competition
Pizzeria Roni & Millennium Kebap,6890,180,1,competition
Boba and Chill,5020,206,1,competition
Phonebox,4020,491,1,competition
Alpin Pizza Kebap Grill,8073,405,1,competition
Wunder Kebap & Pizza Haus,6845,693,1,competition
Couture Cakes,1030,5,1,competition
Toto' Sapori,1110,90,1,competition
Nostalgie Stüberl,8010,204,1,competition
SEM,1040,6,1,competition
Imi's Pizza Express Salzburg,5020,406,1,competition
Ti Amo Pizzeria,8720,288,1,competition
Muminovs Food,4470,2,1,competition
Pizzeria Casa Leon & Gamos,4400,287,1,competition
Lee's Wok,1230,575,1,competition
Pizza-Wrap-Vegan Oscar,1070,45,1,competition
Pizzeria Wattener Hof,6112,168,1,competition
Restaurant Babylon 3,1030,3,1,competition
Taverna Restaurant,8152,289,1,competition
La Turka,1050,7,1,competition
Selina Ristorante Pizzeria,2752,167,1,competition
Meer Sensei,6020,46,1,competition
Waldheim,6971,492,1,competition
McDonald's®,4020,507,1,competition
Wie Daham Restaurant,2100,210,1,competition
Pizzeria Vio,5020,90,1,competition
Juice Factory,1010,8,1,competition
Ayce,1050,5,1,competition
Die Insel,1220,583,1,competition
Kebap Palace,1100,974,1,competition
Haikky Restaurant,6020,86,1,competition
Ristorante Florenz Holzofen Pizzeria,2700,694,1,competition
PiPaPo Marktrestaurant Pizzeria,8055,408,1,competition
MOU S KITCHEN,1160,490,1,competition
Mali Thai Küche,1230,168,1,competition
Mutlu Grill Restaurant,1160,693,1,competition
Bordo Café & Pizzeria,2540,408,1,competition
ENZO Restaurant - Café - Bar,1010,5,1,competition
City Pizza,1090,8,1,competition
Indira Indisches Restaurant,2700,663,1,competition
Pizzeria La Luna,6574,1,1,competition
La Fornace,1050,90,1,competition
Dim Sum,8010,492,1,competition
Momento,8081,333,1,competition
Da Luigi,1090,373,1,competition
Mr. Chen,7011,406,1,competition
Pizza Zeit,1200,8,1,competition
Schabanack,4070,488,1,competition
Schnitzelpalast,3133,163,1,competition
Pizza Joy,5020,1093,1,competition
Wilder Mann,1180,495,1,competition
Sarajevo,1040,123,1,competition
Alpiso - Türkische Spezialitäten und Burger,1100,6,1,competition
Orient Palace Orientalische Küche,8700,3,1,competition
Pizzanista,3251,285,1,competition
Asia Restaurant Jin,1170,9,1,competition
Venezia,3435,125,1,competition
Blunzenstricker,1160,163,1,competition
König Pizza und Kebap,6900,2,1,competition
Kemi's Imbiss Kebab House,2700,46,1,competition
Hasan's Kebap,5280,520,1,competition
Kebap & Pizzahaus,2452,169,1,competition
Homolje Grill,1120,42,1,competition
WELG Kebap & Pizza,8041,289,1,competition
Pizzeria Via Sapore,3150,211,1,competition
Pizzeria Piccino,2514,320,1,competition
My Kebap Pizza,1230,452,1,competition
Wienerwald,1220,9,1,competition
Tatlises,1100,6,1,competition
Pizza Arena,3430,180,1,competition
Schali Restaurant,6020,170,1,competition
Pizzahaus- Holzofengenuss,3423,123,1,competition
Cafe Konditorei Törtchen,6020,5,1,competition
Kebap Store,1050,244,1,competition
XL Chicago Burger,1160,8,1,competition
Thali Platz,8010,252,1,competition
Budapest Bägel Vienna,1020,7,1,competition
Habibi & Hawara,1010,45,1,competition
Asia Restaurant Yoi,1200,5,1,competition
Brasilva,8020,47,1,competition
I love Schnitzel,1160,412,1,competition
Pizza Burg,6900,495,1,competition
Mille Stelle,1050,2025,1,competition
Hira Bistro,5020,129,1,competition
Stefano 2,1030,9,1,competition
Ristorante Don Giovanni,1040,0,1,competition
Santa Maria,9020,251,1,competition
Ella's Mediterranes Soulfood,1010,3,1,competition
Los Cabos,4050,606,1,competition
Pizza Angolo No. 22,1090,2,1,competition
Dauphine Pizza,4030,693,1,competition
Ricco,1020,0,1,competition
OSES Çiğ Köfte,1100,244,1,competition
China Restaurant Sichuan,1100,45,1,competition
Way to India,5020,210,1,competition
Pronto Ristorante,6112,9,1,competition
Pizzeria Brra,9500,737,1,competition
SARANG,4020,1420,1,competition
Nori Buffet-Wok-Teppanyaki,1220,130,1,competition
