name,zip,orders,month,delivery_service
Heinz,8041,569,1,competition
Die Herzl,8010,127,1,competition
Pizzeria Volta,8010,574,1,competition
Afghan Restaurant,8010,40,1,competition
Eat - Asiafood,8010,9,1,competition
Ferdls Restaurant,8054,432,1,competition
Eiskaffee ROMA-Konditorei,8010,49,1,competition
Meet Me There,8020,5,1,competition
Draxler Geflügel,8020,122,1,competition
Wilding im Hof - FETT ESSEN,8010,325,1,competition
Subway,8055,43,1,competition
Yong Ramen,8010,7,1,competition
Rosamunde Kebap,8010,233,1,competition
PHO YOU,8010,90,1,competition
Schnitzel Stubn,8010,209,1,competition
Nostalgie Stüberl,8010,204,1,competition
PiPaPo Marktrestaurant Pizzeria,8055,408,1,competition
Dim Sum,8010,492,1,competition
WELG Kebap & Pizza,8041,289,1,competition
Thali Platz,8010,252,1,competition
Brasilva,8020,47,1,competition
Gaisbergstubn,8020,325,1,competition
Pizzaria Azzurro,8010,247,1,competition
Die Bausatz Lokale,8010,0,1,competition
Cafe Pizzeria La Famiglia,8010,342,1,competition
X&D Wok,8020,9,1,competition
La Perla,8055,250,1,competition
Happy Burger,8020,376,1,competition
Best Food Grill,8020,82,1,competition
Loana CakeAway Graz,8010,81,1,competition
Score Eggenberg,8020,375,1,competition
Horosh,8010,4,1,competition
dean & david,8010,1646,1,competition
Zu den 3 Goldenen Kugeln,8010,930,1,competition
Burger Land,8010,365,1,competition
Grill & Box,8020,42,1,competition
Gasthaus zur Traube,8053,81,1,competition
Dolce Vita Graz,8020,974,1,competition
Unicafe,8010,9,1,competition
McDonald's®,8010,125,1,competition
Bauernwirt,8053,7,1,competition
Momiji Asia Restaurant,8010,248,1,competition
Stand 12 - weil's Wurscht is,8010,42,1,competition
Burger Factory,8020,6,1,competition
Ugarit -Mediterranes Restaurant,8020,8,1,competition
La Pizza,8020,85,1,competition
Unis Kebap,8010,4,1,competition
Mile's Diner,8041,6,1,competition
Dunkin' Donuts,8010,9,1,competition
Due Amici,8020,253,1,competition
Tasty Donuts & Coffee,8010,7,1,competition
Brau32,8010,2,1,competition
Mando,8041,7,1,competition
Yasna Panda Box,8053,3,1,competition
Bräukeller,8020,1135,1,competition
Clocktower American Bar & Grill,8053,1,1,competition
Peri Peri 2,8010,127,1,competition
Chop - Suey,8045,212,1,competition
Dunkin' Donuts,8041,41,1,competition
Taj Mahal,8010,211,1,competition
King Pizzeria,8054,365,1,competition
In's Pfandl,8041,486,1,competition
Gasthof s'Reindl,8055,46,1,competition
Pizzeria Veneziastar,8020,4,1,competition
HEINZ Graz Nord,8051,486,1,competition
