name,zip,kpi,month_1,month_2,delivery_service,orders
Mampf,8020, Commissionable Orders,699.0,822.0,deliverando,1521.0
Dolce Vita,8020, Commissionable Orders,1178.0,1353.0,deliverando,2531.0
China Restaurant Mond,8010, Commissionable Orders,230.0,375.0,deliverando,605.0
Royal,8020, Commissionable Orders,692.0,734.0,deliverando,1426.0
Xpress,8020, Commissionable Orders,365.0,410.0,deliverando,775.0
Goldene Schwalbe - Chinarestaurant,8020, Commissionable Orders,106.0,120.0,deliverando,226.0
Road Burger - Pizza Taxi 2600,8053, Commissionable Orders,746.0,835.0,deliverando,1581.0
Pizzeria Mama Rosa,8051, Commissionable Orders,336.0,362.0,deliverando,698.0
China Restaurant Imperium,8010, Commissionable Orders,486.0,561.0,deliverando,1047.0
Gambaro Rosso,8042, Commissionable Orders,248.0,211.0,deliverando,459.0
China Restaurant Zum Goldenen Fisch,8010, Commissionable Orders,333.0,335.0,deliverando,668.0
Don Alfredo & Der Knusperwirt,8020, Commissionable Orders,328.0,322.0,deliverando,650.0
Restaurant Pizzeria Venezia,8020, Commissionable Orders,116.0,81.0,deliverando,197.0
Salz & Pfeffer,8020, Commissionable Orders,460.0,528.0,deliverando,988.0
Uni Pizza,8054, Commissionable Orders,23.0,35.0,deliverando,58.0
Side Cafe-Pizzeria,8020, Commissionable Orders,36.0,36.0,deliverando,72.0
Aming Dim Sum Profi,8010, Commissionable Orders,235.0,299.0,deliverando,534.0
Pizza Anka,8020, Commissionable Orders,64.0,80.0,deliverando,144.0
Schnitzel Stubn,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Phoenix Restaurant,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Shu,8020, Commissionable Orders,285.0,252.0,deliverando,537.0
China Haus,8043, Commissionable Orders,240.0,300.0,deliverando,540.0
King Pizzeria,8054, Commissionable Orders,229.0,253.0,deliverando,482.0
Wiener & Co,8052, Commissionable Orders,278.0,319.0,deliverando,597.0
Pizza und Kebap Studio,8042, Commissionable Orders,674.0,643.0,deliverando,1317.0
Da Piero,8020, Commissionable Orders,1463.0,1634.0,deliverando,3097.0
Pizza Burg,8041, Commissionable Orders,67.0,114.0,deliverando,181.0
China Restaurant Ye,8010, Commissionable Orders,869.0,651.0,deliverando,1520.0
Reggae Haus,8010, Commissionable Orders,52.0,157.0,deliverando,209.0
Than Thai Asia,8041, Commissionable Orders,191.0,129.0,deliverando,320.0
Campuseck,8010, Commissionable Orders,370.0,439.0,deliverando,809.0
Restaurant Z10,8010, Commissionable Orders,1899.0,1859.0,deliverando,3758.0
The Perfect Bite,8020, Commissionable Orders,80.0,76.0,deliverando,156.0
Milu Milu Taiwanesisches Restaurant,8010, Commissionable Orders,94.0,100.0,deliverando,194.0
Euroburger & Euronudel,8010, Commissionable Orders,498.0,637.0,deliverando,1135.0
Pizza & Burger,8020, Commissionable Orders,360.0,508.0,deliverando,868.0
Veggie+,8020, Commissionable Orders,119.0,102.0,deliverando,221.0
Pizzaria Azzurro,8010, Commissionable Orders,88.0,115.0,deliverando,203.0
Casa Mia,8020, Commissionable Orders,178.0,101.0,deliverando,279.0
Bellagio Uni4tel,8010, Commissionable Orders,273.0,378.0,deliverando,651.0
Happy Burger,8020, Commissionable Orders,330.0,451.0,deliverando,781.0
X&D Wok,8020, Commissionable Orders,66.0,64.0,deliverando,130.0
