name,zip, Commissionable Orders, Negative Comments, Positive Comments,% Kill Rate,Avg Basket Size €,Avg Time to Accept (s)
Adelphia,8010,69.0,0.0,1.0,71.0,14.4,512.0
Aegaeis - Greek Grill,8020,1.0,0.0,0.0,0.0,14.4,155.0
Afghan Restaurant,8010,0.0,0.0,0.0,0.0,0.0,0.0
Akakiko,8010,405.0,1.0,1.0,105.0,31.57,600.0
Akdag Kebap,8020,98.0,2.0,1.0,21.0,10.62,361.0
Al Pomodoro- Ristorante Pizzeria,8010,62.0,0.0,1.0,105.0,22.46,311.0
Alforno,8052,342.0,1.0,1.0,45.0,20.61,17.0
Ali mit Alles,8010,184.0,1.0,1.0,48.0,12.24,389.0
Amando,8041,0.0,0.0,0.0,75.0,0.0,0.0
Aming Dim Sum Profi,8010,299.0,1.0,1.0,105.0,32.16,12.0
Ankara Grill Haus,8010,191.0,4.0,1.0,38.0,12.93,518.0
Apex Pizza Burger Kebab,8010,0.0,0.0,0.0,0.0,0.0,0.0
Area 5,8010,0.0,0.0,0.0,55.0,0.0,0.0
Arena Grill & Fast Food,8020,66.0,1.0,1.0,53.0,19.06,373.0
Arena Grill & Fast Food ,8041,11.0,2.0,1.0,99.0,19.12,730.0
Asia Today - Asien zum Anbeißen ,8020,42.0,0.0,1.0,113.0,18.48,399.0
Asman Restaurant,8055,74.0,1.0,1.0,0.0,24.34,390.0
Ava Persisches Restaurant,8010,0.0,0.0,0.0,0.0,0.0,0.0
Baba Noni - Modern Oriental Kitchen,8020,0.0,0.0,0.0,0.0,0.0,0.0
Babo Chicken,8010,114.0,1.0,1.0,59.0,24.77,514.0
Bar28,8010,43.0,1.0,1.0,91.0,19.21,463.0
Barabar,8041,0.0,0.0,0.0,107.0,0.0,0.0
Bellagio Uni4tel,8010,378.0,2.0,1.0,58.0,23.35,16.0
Bellys,8020,15.0,0.0,0.0,0.0,0.0,0.0
Best Food Grill,8051,153.0,1.0,1.0,62.0,22.56,11.0
Best Food Grill 1,8020,98.0,0.0,1.0,65.0,20.19,11.0
Best Food Grill 4,8020,25.0,0.0,1.0,23.0,14.76,440.0
Best Food Grill 5,8010,72.0,0.0,1.0,39.0,23.8,15.0
Best Food Grill 6,8010,0.0,0.0,0.0,26.0,0.0,0.0
Best Food Grill 8,8045,0.0,0.0,0.0,0.0,0.0,0.0
Beste Freunde - Burgergrill,8020,953.0,8.0,1.0,95.0,20.52,16.0
Bierbaron,8010,144.0,0.0,1.0,58.0,13.69,463.0
Big Joe Falafel,8010,110.0,1.0,1.0,0.0,0.0,0.0
Big Kebap Pizza & Burger,8053,591.0,8.0,1.0,56.0,17.37,9.0
Boba Tea & Juice,8041,0.0,0.0,0.0,0.0,0.0,0.0
Brandhof,8010,83.0,0.0,1.0,0.0,20.2,477.0
Brasilva,8020,0.0,0.0,0.0,0.05,0.0,0.0
Brau32,8010,11.0,0.0,1.0,58.0,24.87,447.0
Burger Boutique,8042,0.0,0.0,0.0,0.0,0.0,0.0
Burger Eck am Jako,8010,38.0,1.0,1.0,78.0,19.74,546.0
Burger King,8010,1274.0,8.0,3.0,165.0,74.44,589.0
Burger King,8055,132.0,3.0,1.0,0.06,25.71,21.0
Burger Land,8010,370.0,1.0,1.0,74.0,22.7,17.0
Burgerista,8010,682.0,2.0,1.0,74.0,23.47,478.0
Burgerista,8055,40.0,0.0,1.0,0.0,27.13,445.0
Cafe Abol,8010,49.0,0.0,1.0,97.0,22.04,517.0
Cafe Erde,8010,180.0,0.0,1.0,0.06,18.04,301.0
Cafe Mitte,8010,175.0,0.0,1.0,0.0,0.0,0.0
Café Phönix,8010,3.0,0.0,0.0,0.0,0.0,0.0
Café Pizzeria Rimini,8020,29.0,0.0,0.0,0.0,13.54,536.0
Campus Beisl,8010,12.0,0.0,0.0,39.0,14.19,571.0
Campuseck,8010,439.0,7.0,1.0,94.0,18.36,14.0
Captain's Riff,8010,35.0,0.0,1.0,56.0,15.71,314.0
Captains Pizzeria,8055,193.0,0.0,1.0,0.06,22.62,15.0
Casa Costiera - Cucina di mare & Pizzeria,8010,142.0,1.0,1.0,149.0,22.96,538.0
Casa Mia,8020,101.0,2.0,1.0,0.04,20.18,34.0
Casa Transilvania,8020,0.0,0.0,0.0,0.0,0.0,0.0
Cevabdzinica Hodzic - Balkan Spezialitäten,8020,0.0,0.0,0.0,106.0,0.0,0.0
Cheesus Burger,8020,0.0,0.0,0.0,0.0,0.0,0.0
Cheesus Burger,8042,481.0,2.0,1.0,0.0,23.17,19.0
Chin Chin Asia Specials,8010,727.0,0.0,1.0,0.09,25.9,14.0
Chin Chin Asian Special,8020,1026.0,1.0,1.0,91.0,27.36,12.0
China Haus,8043,300.0,1.0,1.0,81.0,25.44,14.0
China Restaurant - Spezielle Gerichte,8055,24.0,3.0,1.0,65.0,18.52,111.0
China Restaurant Imperium,8010,561.0,1.0,1.0,79.0,24.81,16.0
China Restaurant Mond,8010,375.0,0.0,1.0,112.0,24.73,20.0
China Restaurant Sichuan,8020,38.0,1.0,1.0,143.0,28.08,511.0
China Restaurant Ye,8010,651.0,3.0,1.0,67.0,25.16,12.0
China Restaurant Zum Goldenen Fisch,8010,335.0,1.0,1.0,106.0,22.93,104.0
Cipollino - Das Original,8010,0.0,0.0,0.0,0.0,0.0,0.0
Cofeba,8010,0.0,0.0,0.0,0.0,0.0,0.0
Cohibar,8010,0.0,0.0,0.0,0.0,0.0,0.0
Come a Casa,8054,85.0,0.0,1.0,131.0,20.6,21.0
Comida,8055,0.0,0.0,0.0,0.0,0.0,0.0
Confiserie Eckhard's,8010,0.0,0.0,0.0,0.0,0.0,0.0
Confiserie Heindl,8010,8.0,0.0,0.0,154.0,32.23,633.0
Continuum,8010,64.0,2.0,1.0,87.0,15.7,449.0
Cook Moon,8010,0.0,0.0,0.0,0.0,0.0,0.0
Cooking Wu,8052,27.0,0.0,1.0,84.0,27.82,361.0
Crazy Dogs,8055,9.0,0.0,0.0,93.0,0.0,0.0
DIE 3 F Sweet Point,8020,156.0,3.0,1.0,0.0,14.36,473.0
Da Piero,8020,1634.0,1.0,1.0,61.0,19.89,9.0
Das Maxxx,8045,133.0,0.0,1.0,104.0,26.9,17.0
Der Eissalon,8052,0.0,0.0,0.0,79.0,0.0,0.0
Die Eisperle,8010,0.0,0.0,0.0,0.0,0.0,0.0
Die Eisperle,8055,0.0,0.0,0.0,0.0,0.0,0.0
Die Grüne Karotte,8010,115.0,1.0,1.0,93.0,18.32,440.0
Die goldene Banane,8010,0.0,0.0,0.0,99.0,0.0,0.0
Dionysos,8010,0.0,0.0,0.0,74.0,0.0,0.0
Dolce Vita,8020,1353.0,3.0,1.0,57.0,19.95,9.0
Don Alfredo & Der Knusperwirt,8020,322.0,0.0,1.0,99.0,23.49,20.0
Don Camillo,8041,41.0,0.0,1.0,0.15,23.34,1051.0
Don Daniele,8020,343.0,1.0,1.0,91.0,21.72,11.0
Draxler Geflügel,8010,119.0,0.0,1.0,36.0,15.73,430.0
Due Amici,8020,108.0,0.0,1.0,0.08,18.26,446.0
Easy Asia,8020,0.0,0.0,0.0,0.0,0.0,0.0
Eat & Meet,8041,0.0,0.0,0.0,0.0,0.0,0.0
Eiscafe Roma,8010,19.0,0.0,1.0,54.0,17.08,840.0
Elit Restaurant Pizza & Grill,8020,221.0,1.0,1.0,62.0,12.2,289.0
Ella Pizza&Kebap,8020,9.0,0.0,1.0,133.0,15.67,559.0
Eloïse Drinks,8055,0.0,0.0,0.0,0.0,0.0,0.0
Empanada Story,8020,0.0,0.0,0.0,0.0,0.0,0.0
Emy's Pizza & Kebaphaus,8010,14.0,0.0,1.0,25.0,0.0,0.0
Esserei - Pasteria,8055,0.0,0.0,0.0,0.0,0.0,0.0
Euro Pizza Kebap Burger,8010,215.0,1.0,1.0,57.0,18.84,9.0
Euroburger & Euronudel,8010,637.0,4.0,1.0,97.0,17.92,15.0
Europa Kebap Pizza,8020,36.0,0.0,1.0,94.0,9.28,542.0
Eye Aseda Ghana and Asian Kitchen,8020,4.0,0.0,0.0,0.0,17.5,37.0
Felice,8042,0.0,0.0,0.0,0.0,0.0,0.0
Ferdls Restaurant,8054,19.0,0.0,1.0,0.07,30.31,409.0
Food Choice,8010,0.0,0.0,0.0,0.0,0.0,0.0
Fresh Bowl,8010,0.0,0.0,0.0,0.0,0.0,0.0
Gaisbergstubn,8020,74.0,0.0,1.0,101.0,26.79,460.0
Gambaro Rosso,8042,211.0,1.0,1.0,81.0,20.81,20.0
Ganesha,8010,57.0,1.0,0.0,132.0,26.5,545.0
Gangnam Kitchen - Korean Fried Chicken,8010,0.0,0.0,0.0,0.0,0.0,0.0
Gasthaus Hofstätter,8020,0.0,0.0,0.0,0.0,0.0,0.0
Gasthaus Reselstube,8020,0.0,0.0,0.0,0.02,0.0,0.0
Gasthaus Römerstuben,8041,0.0,0.0,0.0,116.0,0.0,0.0
Gasthaus zum weißen Kreuz,8010,18.0,0.0,1.0,83.0,22.14,584.0
Gasthaus zur Sonne,8051,0.0,0.0,0.0,0.0,0.0,0.0
Gasthof s'Reindl,8055,4.0,0.0,1.0,103.0,38.48,281.0
Gasthof zum Bayernbrunnen,8020,0.0,0.0,0.0,0.0,0.0,0.0
Gebraten & Gebacken,8054,0.0,0.0,0.0,0.0,0.0,0.0
Geidorf Standl,8010,2.0,0.0,0.0,25.0,8.75,398.0
Goldene Schwalbe - Chinarestaurant,8020,120.0,0.0,1.0,85.0,27.79,31.0
Goldener Apfel,8010,1.0,0.0,0.0,93.0,0.0,0.0
Granola,8020,154.0,2.0,1.0,95.0,30.88,407.0
Granola,8054,13.0,0.0,0.0,207.0,0.0,0.0
Granola,8055,7.0,0.0,0.0,0.0,0.0,0.0
Grillmeister,8041,0.0,0.0,0.0,0.0,0.0,0.0
Gössendorfer Haus Pizza Kebap,8041,68.0,0.0,1.0,75.0,21.55,14.0
Gösser Bräu Graz,8010,11.0,0.0,1.0,32.0,24.37,267.0
Gösser Stüberl,8010,354.0,2.0,1.0,45.0,27.02,17.0
HEINZ Graz Nord,8041,171.0,1.0,1.0,88.0,25.97,13.0
Halici - Cafe Kebaphaus,8020,52.0,0.0,1.0,27.0,10.9,422.0
Happy Burger,8020,451.0,1.0,1.0,59.0,23.11,21.0
Hendlkönig Imbisskiosk Seiersberg,8054,0.0,0.0,0.0,0.0,0.0,0.0
Holy Chicken- Heavenly Fried Chicken,8045,0.0,0.0,0.0,0.0,0.0,0.0
Horosh,8010,12.0,0.0,1.0,78.0,11.72,283.0
Humuhumu Poke Bar,8010,112.0,0.0,1.0,101.0,24.05,648.0
Isaan Thai,8010,131.0,0.0,1.0,109.0,25.08,503.0
Jackson's Fried Chicken - Geidorf,8010,0.0,0.0,0.0,0.0,0.0,0.0
